Data	Durada (hores)	Títol	Origen
2025-03-17 12:15:00	5.5	TFG	classe_TFG.ics
2025-03-18 12:15:00	5.5	TFG	classe_TFG.ics
2025-03-19 12:15:00	5.5	TFG	classe_TFG.ics
2025-04-15 12:15:00	5.5	TFG - reunió M Antònia	classe_TFG.ics
2025-03-06 12:15:00	5.5	TFG	classe_TFG.ics
2025-06-17 08:30:00	5.5	Biblioteca TFG - guió presentació	estudi_TFG.ics
2025-06-17 16:00:00	5.0	TFG - presentació	estudi_TFG.ics
2025-06-10 15:45:00	4.75	Biblioteca TFG - memòria	estudi_TFG.ics
2025-06-07 09:30:00	4.5	Biblioteca TFG	estudi_TFG.ics
2025-06-13 16:30:00	4.25	Biblioteca TFG - presentació	estudi_TFG.ics
2025-05-23 09:45:00	4.0	Biblioteca TFG - codi	estudi_TFG.ics
2025-05-10 09:30:00	3.75	Biblioteca TFG - memòria	estudi_TFG.ics
2025-05-23 17:00:00	3.75	Biblioteca TFG	estudi_TFG.ics
2025-04-18 11:15:00	3.25	TFG	estudi_TFG.ics
2025-05-18 10:00:00	3.0	TFG - memòria	estudi_TFG.ics
2025-05-01 10:45:00	3.0	TFG	estudi_TFG.ics
2025-03-17 16:15:00	2.75	Biblioteca TFG	estudi_TFG.ics
2025-04-23 08:30:00	2.5	TFG	classe_TFG.ics
2025-04-21 11:30:00	2.5	TFG	estudi_TFG.ics
2025-06-12 18:30:00	2.5	Biblioteca TFG - codi appendix - presentació	estudi_TFG.ics
2025-04-21 08:30:00	2.5	TFG	classe_TFG.ics
2025-04-16 17:30:00	2.5	Biblioteca TFG	estudi_TFG.ics
2025-04-22 11:30:00	2.5	TFG	estudi_TFG.ics
2025-06-06 08:30:00	2.5	Biblioteca TFG	estudi_TFG.ics
2025-06-10 08:30:00	2.5	Biblioteca TFG - memòria	estudi_TFG.ics
2025-06-10 11:30:00	2.5	Biblioteca TFG - memòria	estudi_TFG.ics
2025-05-24 10:00:00	2.5	Biblioteca TFG - codi	estudi_TFG.ics
2025-05-09 11:00:00	2.5	TFG - NB no és lo mateix que ALFVÉN!!!!!!!	estudi_TFG.ics
2025-06-10 22:45:00	2.5	TFG - memòria	estudi_TFG.ics
2025-05-27 08:30:00	2.5	Biblioteca TFG - memòria	estudi_TFG.ics
2025-06-05 08:30:00	2.5	Biblioteca TFG	estudi_TFG.ics
2025-04-22 08:30:00	2.5	TFG	classe_TFG.ics
2025-06-04 11:30:00	2.5	Biblioteca TFG - memòria	estudi_TFG.ics
2025-05-28 08:30:00	2.5	Biblioteca TFG - memòria	estudi_TFG.ics
2025-06-02 08:30:00	2.5	Biblioteca TFG - codi	estudi_TFG.ics
2025-06-03 11:30:00	2.5	Biblioteca TFG - memòria	estudi_TFG.ics
2025-05-02 16:15:00	2.25	Biblioteca TFG	estudi_TFG.ics
2025-06-09 16:00:00	2.25	Biblioteca TFG	estudi_TFG.ics
2025-06-02 11:30:00	2.25	Biblioteca TFG - codi	estudi_TFG.ics
2025-06-06 11:30:00	2.25	Biblioteca TFG	estudi_TFG.ics
2025-04-25 11:30:00	2.25	TFG	estudi_TFG.ics
2025-06-18 15:00:00	2.25	Biblioteca TFG - presentació	estudi_TFG.ics
2025-06-18 09:45:00	2.25	Assaig presentació TFG	estudi_TFG.ics
2025-05-13 16:30:00	2.25	TFG - nous autovalors	estudi_TFG.ics
2025-06-05 11:45:00	2.25	Biblioteca TFG	estudi_TFG.ics
2025-05-28 11:45:00	2.25	Biblioteca TFG - memòria	estudi_TFG.ics
2025-04-25 09:00:00	2.0	TFG	classe_TFG.ics
2025-05-27 17:15:00	2.0	Biblioteca TFG	estudi_TFG.ics
2025-05-26 16:00:00	2.0	Biblioteca TFG	estudi_TFG.ics
2025-05-17 15:00:00	2.0	TFG - codi	estudi_TFG.ics
2025-05-19 15:45:00	2.0	TFG	estudi_TFG.ics
2025-06-14 16:30:00	2.0	Biblioteca TFG - presentació	estudi_TFG.ics
2025-06-03 08:45:00	2.0	Biblioteca TFG - codi	estudi_TFG.ics
2025-05-07 19:15:00	2.0	TFG - memòria	estudi_TFG.ics
